stem,has_table,cached_recall,cached_tf1,p_recall,p_tf1,p_latency,p_cost,b1_recall,b1_tf1,b1_latency,b2_recall,b2_tf1,b2_latency,b3_recall,b3_tf1,b3_latency,b3_cost,error
sample_0380_b177e23e,False,0.9785,,1.0,,20.371,0.004367,1.0,,0.01,0.9981,,1.638,0.9739,,10.912,0.002996,
sample_0435_b8fa8a1d,False,0.9814,,0.9954,,7.461,0.002526,1.0,,0.009,1.0,,0.841,1.0,,6.296,0.001671,
sample_0507_b8fa8a1d,False,0.9814,,0.9954,,41.271,0.002518,1.0,,0.006,1.0,,0.844,1.0,,6.439,0.001671,
sample_0109_cf82617c,True,0.9578,1.0,0.9976,0.9744,12.502,0.005517,1.0,0.2956,0.013,0.9759,0.2933,1.224,0.9567,0.9116,10.115,0.003481,
sample_0804_9eeb1b29,False,0.9467,,0.9955,,40.259,0.003646,1.0,,0.006,0.9985,,1.124,1.0,,9.288,0.002574,
sample_0448_d19a8798,True,0.9811,0.9462,0.9912,0.935,45.833,0.004961,1.0,0.7592,0.009,1.0,0.7519,0.876,1.0,1.0,10.958,0.004619,
sample_0902_45e0ec93,False,0.9645,,0.9988,,34.838,0.004311,1.0,,0.007,1.0,,1.394,0.9895,,7.745,0.003111,
sample_0725_7f714d8f,False,0.9652,,0.9983,,12.984,0.002954,1.0,,0.005,0.9948,,1.028,1.0,,11.429,0.001926,
sample_0472_65892781,False,0.9561,,0.9934,,24.089,0.002915,1.0,,0.006,0.9956,,0.819,1.0,,11.844,0.001966,
sample_0279_af27ed0c,False,0.9536,,0.9984,,9.504,0.003523,1.0,,0.006,0.9953,,1.106,0.9984,,10.938,0.002574,
sample_0315_638b3894,False,0.9365,,0.9206,,4.143,0.000864,1.0,,0.003,0.9841,,0.269,1.0,,2.847,0.000371,
sample_0624_f4a4e417,False,0.9519,,0.9977,,18.939,0.002465,1.0,,0.007,1.0,,0.857,1.0,,6.974,0.001639,
sample_0694_7df83d89,False,0.9297,,0.9938,,9.325,0.003779,1.0,,0.007,1.0,,1.039,1.0,,12.584,0.002651,
sample_0876_7df83d89,False,0.9297,,0.9938,,31.146,0.003631,1.0,,0.007,1.0,,1.041,1.0,,6.008,0.002664,
sample_0664_a15e4646,False,0.9706,,0.0,,49.632,0.0,0.9902,,0.004,0.9902,,0.622,0.9902,,7.915,0.001134,
sample_0587_503ed0d8,False,0.9599,,0.9813,,7.319,0.00276,1.0,,0.006,1.0,,0.872,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0677_c4e6ecef,False,0.9698,,0.9959,,22.549,0.005086,1.0,,0.01,1.0,,1.575,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0859_359af830,False,0.916,,0.9985,,41.748,0.003795,1.0,,0.008,0.9787,,1.162,1.0,,8.856,0.002411,
sample_0564_afb4008a,False,0.9339,,0.9905,,9.583,0.003711,1.0,,0.008,0.9984,,1.141,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0905_08f788a4,False,0.93,,0.9971,,18.568,0.003823,1.0,,0.007,1.0,,1.149,1.0,,8.097,0.002739,
sample_0976_fa7dd7cd,False,0.9336,,0.9982,,8.462,0.003121,1.0,,0.009,1.0,,1.049,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0132_0a3486d8,True,0.9492,0.9402,0.9672,0.9612,15.154,0.004783,0.9964,0.6449,0.027,0.9909,0.643,0.987,0.9982,0.9925,9.488,0.003794,
sample_0438_06eefd40,False,0.9231,,0.985,,11.38,0.002791,1.0,,0.006,1.0,,0.925,1.0,,8.893,0.001584,
sample_0348_37df0ce8,False,0.9357,,0.9952,,37.687,0.003519,1.0,,0.006,1.0,,1.062,1.0,,8.554,0.002464,
sample_0327_ff39d0e9,False,0.9262,,0.9938,,7.921,0.002834,1.0,,0.009,0.9959,,0.936,1.0,,13.512,0.001799,
sample_0690_ff39d0e9,False,0.9262,,0.9938,,21.896,0.002909,1.0,,0.008,0.9959,,0.914,1.0,,4.728,0.001786,
sample_0919_1baa9882,True,0.9592,0.901,0.9802,0.8916,12.363,0.006057,1.0,0.6716,0.007,0.9943,0.6554,1.215,1.0,1.0,11.809,0.005756,
sample_0893_4b2f398d,False,0.9129,,0.9933,,12.513,0.003884,1.0,,0.009,1.0,,1.001,1.0,,8.328,0.002424,
sample_0705_0bc403bb,False,0.9394,,0.976,,8.719,0.003399,1.0,,0.011,0.9802,,1.221,0.9816,,9.168,0.002581,
sample_0592_5092cd93,False,0.9532,,0.9984,,8.411,0.00328,1.0,,0.005,0.989,,1.127,1.0,,7.268,0.002309,
sample_0746_1baa9882,True,0.9559,0.8544,0.9801,0.901,38.966,0.006054,0.9943,0.6626,0.006,0.9886,0.6465,1.202,0.9943,0.9909,10.616,0.005269,
sample_0188_14654fbc,False,0.9361,,1.0,,40.708,0.002775,0.9979,,0.016,0.9835,,0.907,0.9979,,5.876,0.001771,
sample_0126_14654fbc,False,0.934,,1.0,,13.59,0.002647,0.9979,,0.009,0.9835,,0.886,0.9979,,5.959,0.001796,
sample_0571_e6932b21,False,0.9,,1.0,,2.287,0.000822,1.0,,0.004,1.0,,0.235,1.0,,3.87,0.000314,
sample_0107_f5db1562,False,0.9222,,0.9889,,8.235,0.003013,1.0,,0.005,0.9908,,0.984,1.0,,14.315,0.001936,
sample_0359_518e04d4,False,0.9471,,0.9895,,7.367,0.002727,0.9979,,0.007,0.9979,,0.947,0.9958,,10.706,0.001796,
sample_0476_244daa7f,False,0.9453,,0.993,,10.919,0.004125,1.0,,0.007,0.9986,,1.281,1.0,,13.1,0.002519,
sample_0128_0d12dd95,False,0.8921,,0.9866,,20.317,0.003678,1.0,,0.007,0.9983,,1.013,1.0,,7.106,0.002381,
sample_0998_26f30c76,False,0.9393,,0.9814,,7.948,0.003117,1.0,,0.004,0.9907,,1.179,0.9876,,21.015,0.002466,
sample_0442_6ba38607,False,0.9378,,0.9897,,30.202,0.004135,0.9923,,0.007,0.9923,,1.198,0.9871,,8.068,0.002789,
sample_0224_6081617b,False,0.9279,,1.0,,8.038,0.002915,1.0,,0.01,1.0,,0.831,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0983_f23f3ab2,False,0.9384,,1.0,,16.778,0.005501,1.0,,0.007,0.9825,,1.497,0.9935,,14.42,0.004231,
sample_0847_b7cefcb2,True,0.9123,1.0,0.9953,0.9074,15.295,0.004073,1.0,0.5782,0.005,1.0,0.5748,0.843,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0344_8b3782c6,False,0.9191,,0.9815,,9.65,0.003327,1.0,,0.006,0.9945,,0.972,1.0,,21.923,0.002209,
sample_0648_966b2b36,False,0.9215,,0.998,,44.386,0.003109,1.0,,0.008,0.996,,0.834,1.0,,6.485,0.001994,
sample_0366_4ec75587,False,0.9405,,0.9954,,7.451,0.003136,1.0,,0.005,1.0,,1.042,1.0,,7.01,0.002284,
sample_0196_ab765208,False,0.8924,,0.9978,,42.093,0.002978,1.0,,0.008,1.0,,0.834,1.0,,7.324,0.001736,
sample_0511_3a09ce77,False,0.8925,,1.0,,8.674,0.002905,1.0,,0.009,1.0,,0.839,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0817_3a09ce77,False,0.8925,,1.0,,19.546,0.002878,1.0,,0.007,1.0,,0.763,1.0,,19.084,0.001726,
sample_0538_30496106,False,0.9226,,0.9981,,26.379,0.00316,1.0,,0.016,1.0,,1.026,1.0,,8.868,0.002031,
sample_0405_80e85f3a,True,0.9187,0.8571,0.9894,0.9218,11.533,0.004704,1.0,0.674,0.006,1.0,0.674,0.744,0.6807,0.9443,13.549,0.002546,
sample_0276_60b8ee1b,True,0.9275,0.9137,0.9938,0.973,14.157,0.004479,1.0,0.7903,0.006,1.0,0.7857,0.687,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0368_c38841eb,False,0.9091,,0.9855,,9.995,0.003181,1.0,,0.006,0.9946,,1.006,0.9946,,6.965,0.001991,
sample_0857_4953a457,True,0.8781,0.9281,0.9338,0.9837,15.543,0.005128,1.0,0.7959,0.005,0.944,0.7839,0.753,0.9975,0.996,19.582,0.004931,
sample_0374_e34aba34,False,0.911,,1.0,,11.283,0.003064,1.0,,0.006,1.0,,0.898,1.0,,10.703,0.001884,
sample_0676_e34aba34,False,0.911,,1.0,,9.035,0.003181,1.0,,0.005,1.0,,0.945,1.0,,5.818,0.001871,
sample_0738_7e7cf2f5,False,0.8722,,0.9653,,5.576,0.001824,1.0,,0.004,0.9884,,0.581,1.0,,10.503,0.001126,
sample_0261_cdbee03d,False,0.8954,,0.989,,27.929,0.003363,1.0,,0.006,0.9853,,1.002,1.0,,8.742,0.002024,
sample_0851_45b5e5e0,False,0.898,,0.9788,,10.407,0.003317,1.0,,0.006,1.0,,1.059,0.9984,,8.424,0.002436,
sample_0357_75223af1,False,0.8887,,0.9892,,20.183,0.003621,1.0,,0.008,1.0,,0.947,1.0,,7.799,0.002294,
sample_0687_75223af1,False,0.8887,,0.9892,,8.483,0.003586,1.0,,0.006,1.0,,0.948,1.0,,6.023,0.002294,
sample_0835_59478c31,False,0.8868,,0.9921,,34.764,0.002529,1.0,,0.006,1.0,,0.768,1.0,,7.084,0.001489,
sample_0712_30efafcd,False,0.9003,,0.9948,,8.759,0.002684,1.0,,0.009,1.0,,0.786,1.0,,9.747,0.001649,
sample_0590_23f95c12,True,0.9333,0.9843,0.9544,0.9406,53.955,0.005382,0.6296,0.5598,0.005,0.9829,0.9114,0.63,0.9801,0.9904,22.347,0.004556,
sample_0124_91e7b212,True,0.9455,1.0,0.9815,0.9871,25.502,0.002676,1.0,0.9208,0.005,1.0,0.9208,0.688,1.0,1.0,11.201,0.002761,
sample_0659_a5778f4e,False,0.8818,,0.971,,22.366,0.004007,0.9984,,0.007,0.9758,,1.01,0.9823,,14.819,0.002821,
sample_0932_078106e7,True,0.9691,0.9903,0.9857,0.9907,10.306,0.003796,0.9428,0.7684,0.011,0.9946,0.8351,1.044,0.9982,0.993,12.0,0.003634,
sample_0389_b275726c,False,0.8769,,1.0,,8.721,0.002826,1.0,,0.017,1.0,,0.689,1.0,,5.556,0.001416,
sample_0537_ea83f9a5,False,0.9527,,0.9908,,9.934,0.003537,1.0,,0.006,0.9921,,1.272,0.9947,,12.527,0.002521,
sample_0123_302d3d2a,False,0.9124,,0.9945,,9.171,0.003431,1.0,,0.007,0.9741,,0.998,1.0,,7.435,0.001956,
sample_0213_fe5c5ad8,False,0.9058,,0.9894,,12.866,0.003837,1.0,,0.008,0.9909,,1.112,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0554_2542b094,True,0.977,1.0,0.9979,0.993,10.148,0.002834,1.0,0.7516,0.007,1.0,0.7478,0.879,1.0,0.874,8.802,0.002134,
sample_0156_ac2b1158,True,0.868,1.0,0.9815,0.8776,12.835,0.004414,1.0,0.4096,0.005,1.0,0.4101,1.131,0.9536,1.0,14.967,0.002884,
sample_0027_ec81b04b,False,0.9296,,0.9639,,21.075,0.003319,1.0,,0.004,0.9784,,1.201,0.9856,,8.804,0.002599,
sample_0573_99ab5c24,True,0.9566,1.0,0.9762,0.9388,9.807,0.002723,1.0,0.5423,0.007,1.0,0.5402,0.753,0.9894,1.0,5.817,0.001824,
sample_0589_747a04e5,True,0.8737,1.0,0.953,0.963,18.145,0.002596,1.0,0.3948,0.008,1.0,0.3948,0.657,,,,,|b3:Gemini Vision failed: 503 UNAVAILABLE. {'error': {'code': 50
sample_0299_ccbdc47e,False,0.9557,,0.9951,,6.125,0.002493,1.0,,0.011,1.0,,0.769,1.0,,5.86,0.001629,
sample_0054_c977858d,True,0.8997,0.9651,0.937,0.9574,21.226,0.005304,1.0,0.8911,0.005,0.9974,0.8883,0.645,1.0,1.0,29.369,0.006621,
